filename,crack,inactive,nbr
images/augs/cell2044_vflip.png,1,0,2044
images/augs/cell2044_hflip.png,1,0,2044
images/augs/cell2044_90deg.png,1,0,2044
images/augs/cell2044_180deg.png,1,0,2044
images/augs/cell2044_270deg.png,1,0,2044
images/augs/cell0123_vflip.png,0,0,0123
images/augs/cell0123_hflip.png,0,0,0123
images/augs/cell0123_90deg.png,0,0,0123
images/augs/cell0123_180deg.png,0,0,0123
images/augs/cell0123_270deg.png,0,0,0123
images/augs/cell2241_vflip.png,0,0,2241
images/augs/cell2241_hflip.png,0,0,2241
images/augs/cell2241_90deg.png,0,0,2241
images/augs/cell2241_180deg.png,0,0,2241
images/augs/cell2241_270deg.png,0,0,2241
images/augs/cell2426_vflip.png,0,0,2426
images/augs/cell2426_hflip.png,0,0,2426
images/augs/cell2426_90deg.png,0,0,2426
images/augs/cell2426_180deg.png,0,0,2426
images/augs/cell2426_270deg.png,0,0,2426
images/augs/cell1552_vflip.png,0,0,1552
images/augs/cell1552_hflip.png,0,0,1552
images/augs/cell1552_90deg.png,0,0,1552
images/augs/cell1552_180deg.png,0,0,1552
images/augs/cell1552_270deg.png,0,0,1552
images/augs/cell0813_vflip.png,0,0,0813
images/augs/cell0813_hflip.png,0,0,0813
images/augs/cell0813_90deg.png,0,0,0813
images/augs/cell0813_180deg.png,0,0,0813
images/augs/cell0813_270deg.png,0,0,0813
images/augs/cell1251_vflip.png,0,0,1251
images/augs/cell1251_hflip.png,0,0,1251
images/augs/cell1251_90deg.png,0,0,1251
images/augs/cell1251_180deg.png,0,0,1251
images/augs/cell1251_270deg.png,0,0,1251
images/augs/cell1221_vflip.png,0,0,1221
images/augs/cell1221_hflip.png,0,0,1221
images/augs/cell1221_90deg.png,0,0,1221
images/augs/cell1221_180deg.png,0,0,1221
images/augs/cell1221_270deg.png,0,0,1221
images/augs/cell1456_vflip.png,1,0,1456
images/augs/cell1456_hflip.png,1,0,1456
images/augs/cell1456_90deg.png,1,0,1456
images/augs/cell1456_180deg.png,1,0,1456
images/augs/cell1456_270deg.png,1,0,1456
images/augs/cell1927_vflip.png,0,0,1927
images/augs/cell1927_hflip.png,0,0,1927
images/augs/cell1927_90deg.png,0,0,1927
images/augs/cell1927_180deg.png,0,0,1927
images/augs/cell1927_270deg.png,0,0,1927
images/augs/cell1283_vflip.png,0,0,1283
images/augs/cell1283_hflip.png,0,0,1283
images/augs/cell1283_90deg.png,0,0,1283
images/augs/cell1283_180deg.png,0,0,1283
images/augs/cell1283_270deg.png,0,0,1283
images/augs/cell1575_vflip.png,0,0,1575
images/augs/cell1575_hflip.png,0,0,1575
images/augs/cell1575_90deg.png,0,0,1575
images/augs/cell1575_180deg.png,0,0,1575
images/augs/cell1575_270deg.png,0,0,1575
images/augs/cell1263_vflip.png,0,0,1263
images/augs/cell1263_hflip.png,0,0,1263
images/augs/cell1263_90deg.png,0,0,1263
images/augs/cell1263_180deg.png,0,0,1263
images/augs/cell1263_270deg.png,0,0,1263
images/augs/cell0614_vflip.png,1,0,0614
images/augs/cell0614_hflip.png,1,0,0614
images/augs/cell0614_90deg.png,1,0,0614
images/augs/cell0614_180deg.png,1,0,0614
images/augs/cell0614_270deg.png,1,0,0614
images/augs/cell0718_hflip.png,0,0,0718
images/augs/cell0718_90deg.png,0,0,0718
images/augs/cell0718_180deg.png,0,0,0718
images/augs/cell0718_270deg.png,0,0,0718
images/augs/cell1809_vflip.png,0,0,1809
images/augs/cell1809_hflip.png,0,0,1809
images/augs/cell1809_90deg.png,0,0,1809
images/augs/cell1809_180deg.png,0,0,1809
images/augs/cell1809_270deg.png,0,0,1809
images/augs/cell1275_vflip.png,0,0,1275
images/augs/cell1275_hflip.png,0,0,1275
images/augs/cell1275_90deg.png,0,0,1275
images/augs/cell1275_180deg.png,0,0,1275
images/augs/cell1275_270deg.png,0,0,1275
images/augs/cell1161_vflip.png,1,0,1161
images/augs/cell1161_hflip.png,1,0,1161
images/augs/cell1161_90deg.png,1,0,1161
images/augs/cell1161_180deg.png,1,0,1161
images/augs/cell1161_270deg.png,1,0,1161
images/augs/cell1725_vflip.png,0,0,1725
images/augs/cell1725_hflip.png,0,0,1725
images/augs/cell1725_90deg.png,0,0,1725
images/augs/cell1725_180deg.png,0,0,1725
images/augs/cell1725_270deg.png,0,0,1725
images/augs/cell0249_vflip.png,1,1,0249
images/augs/cell0249_hflip.png,1,1,0249
images/augs/cell0249_90deg.png,1,1,0249
images/augs/cell0249_180deg.png,1,1,0249
images/augs/cell0249_270deg.png,1,1,0249
images/augs/cell2484_vflip.png,0,0,2484
images/augs/cell2484_hflip.png,0,0,2484
images/augs/cell2484_90deg.png,0,0,2484
images/augs/cell2484_180deg.png,0,0,2484
images/augs/cell2484_270deg.png,0,0,2484
images/augs/cell0332_vflip.png,0,0,0332
images/augs/cell0332_hflip.png,0,0,0332
images/augs/cell0332_90deg.png,0,0,0332
images/augs/cell0332_180deg.png,0,0,0332
images/augs/cell0332_270deg.png,0,0,0332
images/augs/cell0802_vflip.png,0,0,0802
images/augs/cell0802_hflip.png,0,0,0802
images/augs/cell0802_90deg.png,0,0,0802
images/augs/cell0802_180deg.png,0,0,0802
images/augs/cell0802_270deg.png,0,0,0802
images/augs/cell1150_vflip.png,0,0,1150
images/augs/cell1150_hflip.png,0,0,1150
images/augs/cell1150_90deg.png,0,0,1150
images/augs/cell1150_180deg.png,0,0,1150
images/augs/cell1150_270deg.png,0,0,1150
images/augs/cell2310_vflip.png,0,0,2310
images/augs/cell2310_hflip.png,0,0,2310
images/augs/cell2310_90deg.png,0,0,2310
images/augs/cell2310_180deg.png,0,0,2310
images/augs/cell2310_270deg.png,0,0,2310
images/augs/cell2427_vflip.png,1,0,2427
images/augs/cell2427_hflip.png,1,0,2427
images/augs/cell2427_90deg.png,1,0,2427
images/augs/cell2427_180deg.png,1,0,2427
images/augs/cell2427_270deg.png,1,0,2427
images/augs/cell2230_vflip.png,0,0,2230
images/augs/cell2230_hflip.png,0,0,2230
images/augs/cell2230_90deg.png,0,0,2230
images/augs/cell2230_180deg.png,0,0,2230
images/augs/cell2230_270deg.png,0,0,2230
images/augs/cell1362_vflip.png,0,0,1362
images/augs/cell1362_hflip.png,0,0,1362
images/augs/cell1362_90deg.png,0,0,1362
images/augs/cell1362_180deg.png,0,0,1362
images/augs/cell1362_270deg.png,0,0,1362
images/augs/cell2516_vflip.png,1,0,2516
images/augs/cell2516_hflip.png,1,0,2516
images/augs/cell2516_90deg.png,1,0,2516
images/augs/cell2516_180deg.png,1,0,2516
images/augs/cell2516_270deg.png,1,0,2516
images/augs/cell2538_vflip.png,1,0,2538
images/augs/cell2538_hflip.png,1,0,2538
images/augs/cell2538_90deg.png,1,0,2538
images/augs/cell2538_180deg.png,1,0,2538
images/augs/cell2538_270deg.png,1,0,2538
images/augs/cell0838_vflip.png,0,0,0838
images/augs/cell0838_hflip.png,0,0,0838
images/augs/cell0838_90deg.png,0,0,0838
images/augs/cell0838_180deg.png,0,0,0838
images/augs/cell0838_270deg.png,0,0,0838
images/augs/cell1471_vflip.png,0,0,1471
images/augs/cell1471_hflip.png,0,0,1471
images/augs/cell1471_90deg.png,0,0,1471
images/augs/cell1471_180deg.png,0,0,1471
images/augs/cell1471_270deg.png,0,0,1471
images/augs/cell0097_vflip.png,0,0,0097
images/augs/cell0097_hflip.png,0,0,0097
images/augs/cell0097_90deg.png,0,0,0097
images/augs/cell0097_180deg.png,0,0,0097
images/augs/cell0097_270deg.png,0,0,0097
images/augs/cell2257_vflip.png,0,0,2257
images/augs/cell2257_hflip.png,0,0,2257
images/augs/cell2257_90deg.png,0,0,2257
images/augs/cell2257_180deg.png,0,0,2257
images/augs/cell2257_270deg.png,0,0,2257
images/augs/cell1039_vflip.png,0,0,1039
images/augs/cell1039_hflip.png,0,0,1039
images/augs/cell1039_90deg.png,0,0,1039
images/augs/cell1039_180deg.png,0,0,1039
images/augs/cell1039_270deg.png,0,0,1039
images/augs/cell2308_vflip.png,0,0,2308
